,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[277],0.958,0.022,0.917,0.991,0.0,0.0,39563.0,19061.0,1.0
p_pain[278],0.721,0.038,0.65,0.791,0.0,0.0,37575.0,18757.0,1.0
p_pain[279],0.241,0.069,0.115,0.37,0.0,0.0,22288.0,13682.0,1.0
p_pain[280],0.405,0.039,0.331,0.476,0.0,0.0,22326.0,13594.0,1.0
p_pain[281],0.54,0.075,0.399,0.682,0.0,0.0,25375.0,15986.0,1.0
p_pain[282],0.905,0.031,0.845,0.958,0.0,0.0,38786.0,18935.0,1.0
p_pain[283],0.082,0.04,0.019,0.158,0.0,0.0,23592.0,13845.0,1.0
p_pain[284],0.971,0.016,0.941,0.995,0.0,0.0,37064.0,18120.0,1.0
p_pain[285],0.991,0.007,0.979,1.0,0.0,0.0,35993.0,18640.0,1.0
p_pain[286],0.94,0.028,0.887,0.984,0.0,0.0,39324.0,18907.0,1.0
p_pain[287],0.424,0.061,0.311,0.542,0.0,0.0,23029.0,13656.0,1.0
p_pain[288],0.32,0.068,0.195,0.45,0.0,0.0,22326.0,13594.0,1.0
p_pain[289],0.945,0.024,0.9,0.985,0.0,0.0,39107.0,19229.0,1.0
p_pain[290],0.866,0.043,0.784,0.94,0.0,0.0,37575.0,18757.0,1.0
p_pain[291],0.559,0.048,0.472,0.652,0.0,0.0,26783.0,17243.0,1.0
