,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[3558],0.997,0.003,0.992,1.0,0.0,0.0,26446.0,16793.0,1.0
p_pain[3559],0.074,0.049,0.007,0.163,0.0,0.0,20569.0,12961.0,1.0
p_pain[3560],0.957,0.022,0.916,0.992,0.0,0.0,30728.0,17451.0,1.0
p_pain[3561],0.639,0.059,0.533,0.754,0.0,0.0,27002.0,16986.0,1.0
p_pain[3562],0.324,0.064,0.202,0.442,0.0,0.0,20590.0,12944.0,1.0
p_pain[3563],0.865,0.042,0.786,0.942,0.0,0.0,31728.0,16869.0,1.0
p_pain[3564],0.991,0.007,0.979,1.0,0.0,0.0,26532.0,16689.0,1.0
p_pain[3565],0.611,0.029,0.556,0.665,0.0,0.0,30250.0,17993.0,1.0
p_pain[3566],0.995,0.004,0.988,1.0,0.0,0.0,27341.0,15873.0,1.0
p_pain[3567],0.928,0.028,0.875,0.975,0.0,0.0,26214.0,16556.0,1.0
p_pain[3568],0.987,0.01,0.969,0.999,0.0,0.0,29661.0,17067.0,1.0
p_pain[3569],0.972,0.016,0.944,0.996,0.0,0.0,26683.0,16496.0,1.0
p_pain[3570],0.993,0.006,0.982,1.0,0.0,0.0,26164.0,16492.0,1.0
p_pain[3571],0.213,0.092,0.059,0.388,0.001,0.001,20625.0,12999.0,1.0
p_pain[3572],0.998,0.003,0.993,1.0,0.0,0.0,26154.0,16530.0,1.0
p_pain[3573],0.953,0.022,0.911,0.988,0.0,0.0,28393.0,16297.0,1.0
p_pain[3574],0.783,0.035,0.716,0.849,0.0,0.0,26319.0,16650.0,1.0
p_pain[3575],0.912,0.03,0.855,0.965,0.0,0.0,26993.0,16085.0,1.0
p_pain[3576],0.483,0.118,0.267,0.709,0.001,0.001,22769.0,13991.0,1.0
p_pain[3577],0.977,0.014,0.952,0.997,0.0,0.0,26180.0,16520.0,1.0
p_pain[3578],0.931,0.029,0.877,0.979,0.0,0.0,18578.0,16139.0,1.0
p_pain[3579],0.898,0.032,0.836,0.955,0.0,0.0,27724.0,18763.0,1.0
p_pain[3580],0.993,0.006,0.982,1.0,0.0,0.0,18473.0,16123.0,1.0
